WeChat: cstutorcs
QQ: 749389476
Email: tutorcs@163.com
"Student ID" "Gender" "Quiz 1" "Quiz 2"
s106639 M 80 80
s118298 F 98 88
s144106 F 94 85
s119084 F 84 84
s107572 M 92 75
s130579 F 97 89
s142364 M 95 88
s122462 M 97 98
s121563 M 70 99
s127581 M 77 76
s116288 M 95 92
s111088 F 64 92
s128724 M 97 74
s147562 F 92 83
s104564 F 78 82
s106508 F 90 90
s110265 M 95 79
s131165 M 85 
s104615 M 91 74
s146055 M 93 78
s127938 M 91 67
s144702 F 77 91
s120644 F 97 64
s143167 M 94 84
s132525 F 70 66
s105546 F 67 68
s122769 F 75 68
s105190 F 68 72
s123382 F 80 83
s138355 F 88 74
s106544 M 84 71
s123171 F 81 81
s131354 M 81 85
s112614 M 78 80
s134403 F 99 85
s107852 F 90 75
s143425 F 83 96
s148576 M 97 71
s128956 F 87 89
s141979 M 83 65
s128294 M 79 85
s116247 F 90 99
s115457 F 83 67
s135909 F 84 67
s125769 M 64 60
s106030 M 97 71
s120374 M 64 87
s136235 M 84 67
s112355 F 64 
s114893 M 64 74
s106398 M 74 92
s126173 M 61 93
s143341 F 60 62
s110791 F 64 96
s128285 M 74 90
s119406 F 96 91
s112500 M 88 91
s131506 F 65 63
s125965 F 98 88
s148786 M 62 61
s116565 M 97 79
s117269 F 60 91
s144564 F 78 79
s114236 M 78 81
s147186 M 90 88
s118487 M 71 92
s133260 M 72 75
s138256 F 84 81
s130939 F 87 64
s123848 M 91 87
s115399 M 80 90
s137945 M 77 95
s125808 M 74 78
s108960 F 78 97
s105599 F 84 66
s102185 M 91 89
s114561 M 70 
s101630 M 96 70
s136845 F 87 61
s124346 F 97 67
s116471 F 96 65
s116354 M 60 84
s134317 F 83 
s133332 M 88 72
s130230 F 92 
s104144 F 75 65
s109078 F 93 63
s106110 F 65 61
s134634 F 70 86
